iteration,duration,findLastItemDuration,getItemTextDuration
1,157,5,31
2,105,4,8
3,104,5,7
4,102,7,7
5,99,6,7
6,103,6,7
7,100,5,6
8,104,4,8
9,101,5,6
10,102,7,6
11,104,7,7
12,102,7,6
13,102,7,5
14,103,7,5
15,103,6,6
16,105,7,6
17,106,7,6
18,104,7,6
19,110,5,9
20,115,6,9
21,115,5,8
22,119,7,9
23,113,5,9
24,112,5,8
25,112,5,9
26,111,5,9
27,114,6,9
28,116,5,8
29,113,5,9
30,129,5,9
31,112,4,9
32,117,6,9
33,118,4,8
34,125,7,7
35,119,6,8
36,123,5,8
37,122,5,9
38,121,6,8
39,122,5,10
40,121,6,8
41,121,5,8
42,120,4,8
43,125,5,8
44,140,7,26
45,120,5,9
46,124,5,9
47,123,4,10
48,122,5,9
49,125,9,9
50,127,4,9
51,120,5,9
52,124,5,9
53,120,4,9
54,133,6,8
55,124,4,10
56,158,6,8
57,162,6,9
58,120,5,9
59,127,5,9
60,140,5,8
61,149,6,8
62,122,5,8
63,122,6,8
64,143,5,9
65,147,5,30
66,125,5,10
67,127,5,9
68,132,6,8
69,142,5,8
70,175,8,7
71,124,5,9
72,126,4,9
73,139,5,9
74,144,21,9
75,125,6,8
76,126,6,8
77,137,5,8
78,152,5,31
79,150,7,7
80,135,7,7
81,123,6,8
82,145,5,9
83,146,5,27
84,149,4,10
85,127,5,9
86,128,5,9
87,153,5,9
88,148,5,9
89,204,4,11
90,145,6,8
91,127,5,9
92,131,7,8
93,133,6,8
94,131,7,7
95,130,5,8
96,128,5,9
97,132,5,9
98,127,5,8
99,131,6,8
100,165,5,9
101,128,5,9
102,137,5,9
103,131,5,9
104,135,5,10
105,138,6,9
106,134,5,8
107,134,5,9
108,133,6,9
109,140,5,9
110,133,5,9
111,181,5,10
112,130,5,8
113,136,6,8
114,133,6,8
115,165,6,9
116,129,5,9
117,278,5,151
118,135,6,10
119,138,8,7
120,138,5,9
121,142,5,9
122,138,5,9
123,137,5,10
124,137,6,8
125,138,6,8
126,138,5,9
127,140,5,9
128,135,6,8
129,138,5,9
130,149,5,9
131,138,6,9
132,190,5,9
133,130,5,9
134,140,6,9
135,141,6,8
136,138,6,8
137,141,5,9
138,136,6,9
139,136,6,8
140,136,5,9
141,139,5,9
142,156,5,9
143,137,5,9
144,141,5,8
145,138,5,9
146,140,5,9
147,139,5,8
148,138,5,9
149,145,5,9
150,138,5,9
151,139,6,9
152,148,6,8
153,166,6,8
154,192,5,9
155,146,5,9
156,143,6,10
157,142,6,9
158,137,6,8
159,138,6,9
160,143,6,8
161,142,6,8
162,141,5,9
163,160,5,9
164,142,5,9
165,142,6,9
166,145,6,8
167,141,5,9
168,143,6,9
169,150,6,9
170,146,6,9
171,145,6,8
172,150,5,9
173,170,5,9
174,194,6,9
175,144,6,9
176,142,5,9
177,141,5,8
178,143,5,9
179,146,6,8
180,146,6,8
181,145,5,9
182,172,6,9
183,144,6,8
184,146,6,8
185,150,6,9
186,145,5,9
187,143,6,8
188,145,6,8
189,148,6,8
190,173,6,9
191,143,5,9
192,143,6,8
193,146,6,8
194,147,6,8
195,198,6,10
196,149,6,9
197,152,8,8
198,168,6,9
199,146,6,9
200,150,6,8
201,150,5,9
202,147,6,8
203,150,6,9
204,151,6,8
205,149,6,9
206,182,5,9
207,147,6,8
208,156,6,8
209,154,6,9
210,152,6,8
211,155,8,9
212,149,5,9
213,148,6,9
214,237,6,10
215,158,5,9
216,161,6,8
217,151,5,9
218,149,6,9
219,151,6,8
220,151,6,8
221,183,5,9
222,160,6,8
223,154,6,8
224,150,5,9
225,151,6,8
226,152,6,9
227,155,6,9
228,193,6,11
229,150,6,9
230,161,6,9
231,159,6,8
232,156,6,9
233,195,5,9
234,163,5,10
235,192,6,8
236,159,6,9
237,159,6,8
238,155,5,9
239,154,6,8
240,152,6,9
241,184,6,9
242,155,6,8
243,160,6,9
244,159,6,8
245,157,6,9
246,160,5,9
247,158,5,9
248,200,6,10
249,162,6,11
250,164,6,10
251,158,6,8
