iteration,duration,findLastItemDuration,getItemTextDuration
1,166,9,28
2,122,4,16
3,120,5,14
4,113,4,17
5,117,5,12
6,112,5,12
7,115,5,12
8,111,6,12
9,120,4,18
10,110,5,11
11,109,4,12
12,114,5,12
13,119,5,12
14,123,6,17
15,110,6,12
16,113,7,11
17,125,5,16
18,128,5,15
19,123,5,15
20,123,5,14
21,119,4,12
22,120,4,15
23,121,5,15
24,119,5,13
25,120,5,15
26,123,5,16
27,131,5,15
28,119,5,15
29,116,5,15
30,123,5,14
31,121,5,15
32,125,5,14
33,120,5,14
34,120,5,14
35,119,5,14
36,117,4,16
37,125,5,15
38,121,5,15
39,124,5,14
40,121,5,15
41,120,5,16
42,124,5,15
43,116,5,12
44,124,5,15
45,119,5,15
46,119,5,15
47,129,10,15
48,117,5,14
49,121,5,15
50,123,6,16
51,117,5,15
52,119,5,12
53,117,4,15
54,126,9,15
55,117,5,16
56,116,5,14
57,137,5,36
58,114,4,16
59,118,7,15
60,131,5,15
61,138,6,15
62,130,4,15
63,112,5,15
64,139,6,14
65,136,5,15
66,120,10,14
67,116,5,12
68,137,6,14
69,136,5,16
70,115,5,11
71,282,5,15
72,126,10,17
73,140,6,16
74,136,6,30
75,124,5,15
76,117,5,15
77,141,5,15
78,131,5,14
79,122,5,15
80,122,6,14
81,134,6,16
82,152,5,14
83,116,5,15
84,120,7,15
85,135,5,14
86,113,5,14
87,117,5,15
88,139,6,15
89,146,5,34
90,115,6,14
91,116,5,14
92,143,5,14
93,117,5,14
94,115,5,14
95,120,5,14
96,125,5,15
97,120,5,15
98,125,5,14
99,117,6,14
100,119,6,12
101,123,5,15
102,119,6,14
103,119,5,15
104,119,5,15
105,117,5,11
106,116,6,14
107,120,5,14
108,119,5,15
109,117,5,11
110,122,5,14
111,150,5,15
112,120,6,14
113,116,6,14
114,116,5,14
115,118,5,15
116,119,5,14
117,117,5,11
118,120,5,14
119,122,5,14
120,119,5,15
121,122,5,15
122,120,5,12
123,124,5,16
124,120,5,15
125,120,6,15
126,118,6,11
127,119,6,15
128,116,5,15
129,121,5,14
130,119,5,15
131,117,5,15
132,122,5,15
133,120,6,14
134,121,6,14
135,121,5,14
136,119,5,15
137,117,5,15
138,121,5,15
139,120,5,14
140,129,5,16
141,118,7,14
142,126,7,15
143,122,5,15
144,218,5,15
145,119,6,17
146,139,6,16
147,130,6,15
148,121,7,14
149,125,6,15
150,120,5,15
151,117,5,15
152,120,5,15
153,121,6,14
154,145,6,15
155,117,5,12
156,121,6,14
157,119,5,15
158,122,5,15
159,119,6,15
160,121,5,15
161,121,6,15
162,123,5,15
163,119,5,15
164,119,5,15
165,120,5,15
166,117,5,15
167,119,5,15
168,119,5,15
169,120,5,16
170,126,6,14
171,116,5,15
172,120,5,14
173,121,6,14
174,121,5,15
175,118,5,15
176,119,5,15
177,125,6,14
178,120,5,13
179,120,6,14
180,118,6,14
181,119,6,14
182,119,6,14
183,118,5,14
184,120,6,14
185,121,5,11
186,118,5,12
187,195,6,15
188,130,7,18
189,149,6,18
190,123,5,16
191,126,7,14
192,127,6,14
193,121,5,15
194,119,6,14
195,121,6,14
196,124,6,14
197,136,5,14
198,120,6,14
199,125,5,15
200,122,6,15
201,134,6,14
202,121,5,15
203,121,5,14
204,125,6,15
205,122,5,15
206,119,6,14
207,119,6,15
208,123,5,15
209,125,6,16
210,118,5,15
211,127,5,15
212,129,6,14
213,124,6,15
214,133,5,14
215,123,5,15
216,120,5,15
217,121,5,12
218,123,6,14
219,123,6,14
220,122,5,15
221,129,6,14
222,121,5,15
223,125,6,15
224,127,8,15
225,120,5,14
226,123,6,14
227,126,5,15
228,132,6,14
229,211,5,14
230,134,7,16
231,134,6,16
232,123,6,16
233,125,5,14
234,119,6,14
235,121,5,14
236,121,5,15
237,122,5,15
238,163,7,14
239,120,5,15
240,122,6,15
241,119,5,12
242,124,6,15
243,119,5,15
244,123,5,12
245,125,5,15
246,122,6,16
247,124,6,14
248,119,6,14
249,128,5,15
250,123,5,15
251,120,6,14
252,124,8,15
253,120,5,12
254,120,5,15
255,118,6,15
256,124,6,15
257,120,6,15
258,119,6,14
259,119,6,12
260,124,6,15
261,119,6,14
262,123,6,16
263,125,5,15
264,115,6,14
265,118,6,11
266,124,6,14
267,120,6,14
268,124,6,12
269,118,5,15
270,122,5,15
271,220,8,18
272,140,8,17
273,123,6,15
274,123,6,15
275,124,7,14
276,122,5,16
277,119,6,14
278,124,4,14
279,128,7,14
280,119,5,15
281,123,6,15
282,128,6,15
283,129,9,14
284,125,6,15
285,122,6,14
286,123,6,15
287,132,6,12
288,109,5,15
289,121,6,14
290,120,5,15
291,120,6,14
292,122,6,14
293,121,6,15
294,119,6,15
295,120,6,15
296,125,6,14
297,123,6,15
298,127,6,14
299,121,5,15
300,126,8,15
301,118,6,14
302,118,6,14
303,121,6,14
304,126,6,15
305,124,6,15
306,128,7,15
307,120,6,15
308,118,6,12
309,120,6,14
310,119,6,11
311,127,6,15
312,222,7,14
313,129,6,18
314,162,10,19
315,132,10,15
316,126,6,15
317,121,6,12
318,120,6,11
319,119,6,14
320,145,6,14
321,124,7,15
322,120,6,14
323,123,7,14
324,120,6,14
325,120,6,14
326,125,6,14
327,119,6,14
328,126,6,14
329,123,6,12
330,122,5,15
331,120,6,14
332,121,6,15
333,125,5,15
334,125,6,15
335,126,6,14
336,140,6,15
337,117,6,15
338,118,6,15
339,120,6,14
340,121,6,14
341,123,6,14
342,119,6,14
343,120,6,14
344,121,6,14
345,121,6,14
346,121,6,14
347,121,6,15
348,123,6,14
349,123,6,15
350,123,6,15
351,122,6,15
352,206,6,14
353,130,7,16
354,135,9,15
355,127,6,12
356,126,7,15
357,126,6,15
358,125,6,15
359,123,6,15
360,155,6,15
361,116,7,15
362,125,6,14
363,126,6,12
364,126,6,14
365,120,6,11
366,128,6,14
367,120,6,14
368,124,6,14
369,128,6,15
370,122,7,14
371,122,6,14
372,122,6,16
373,127,6,20
374,120,6,15
375,124,7,14
376,131,9,14
377,126,6,15
378,124,6,14
379,127,6,14
380,120,6,14
381,122,6,15
382,118,6,14
383,122,6,14
384,123,6,14
385,149,6,15
386,120,6,14
387,124,6,12
388,128,8,15
389,121,7,14
390,124,6,14
391,131,6,15
392,214,6,15
393,124,7,16
394,132,6,16
395,133,6,16
396,129,6,14
397,128,6,15
398,129,9,14
399,132,6,14
400,120,6,14
401,127,7,14
402,124,7,14
403,133,8,15
404,125,6,14
405,128,6,14
406,129,7,14
407,125,6,15
408,124,7,15
409,152,6,15
410,123,6,15
411,125,6,14
412,120,7,14
413,126,7,15
414,123,7,14
415,124,6,14
416,122,6,15
417,127,6,15
418,127,8,15
419,124,7,14
420,124,6,15
421,124,6,14
422,123,6,15
423,123,6,14
424,128,6,14
425,123,7,14
426,122,6,15
427,124,6,14
428,123,7,14
429,123,6,14
430,123,7,14
431,204,7,14
432,169,7,50
433,132,7,16
434,130,6,12
435,128,7,14
436,125,7,14
437,122,6,15
438,126,7,15
439,141,7,33
440,129,7,15
441,136,6,15
442,125,6,14
443,130,6,15
444,124,6,14
445,123,6,14
446,124,6,15
447,130,6,15
448,137,8,14
449,127,6,15
450,130,9,14
451,130,6,15
452,126,6,15
453,123,6,14
454,124,6,16
455,125,6,15
456,153,37,14
457,117,6,14
458,124,7,14
459,124,6,15
460,125,6,15
461,123,6,15
462,123,7,14
463,123,7,14
464,128,6,14
465,125,7,14
466,125,6,15
467,124,6,15
468,123,6,14
469,126,6,14
470,125,6,15
471,232,13,16
472,147,6,17
473,131,7,15
474,131,7,15
475,133,8,15
476,125,7,14
477,153,7,15
478,123,6,15
479,161,7,15
480,116,7,14
481,129,8,15
482,130,6,14
483,127,6,15
484,131,7,14
485,128,7,14
486,129,7,14
487,129,7,14
488,131,8,15
489,128,7,14
490,127,7,14
491,132,6,15
492,125,7,15
493,128,7,15
494,128,7,15
495,128,7,15
496,131,7,16
497,128,7,15
498,129,7,15
499,127,7,15
500,130,6,15
501,134,7,14
502,130,6,15
503,156,6,14
504,124,6,16
505,131,6,15
506,133,7,14
507,127,6,15
508,212,6,15
509,139,8,18
510,136,6,17
511,137,7,15
512,129,8,14
513,134,7,15
514,129,6,14
515,125,7,14
516,146,7,14
517,128,7,14
518,133,11,15
519,126,6,15
520,128,7,15
521,127,7,14
522,127,7,14
523,126,7,14
524,130,9,15
525,130,7,15
526,161,7,14
527,121,6,15
528,124,7,15
529,132,7,14
530,125,7,15
531,128,7,15
532,125,7,14
533,124,6,15
534,125,7,14
535,124,7,14
536,127,7,14
537,132,7,14
538,124,6,14
539,128,6,15
540,124,6,14
541,124,7,14
542,130,7,16
543,123,7,14
544,127,10,14
545,120,6,15
546,125,7,15
547,220,7,14
548,147,8,17
549,175,6,18
550,123,6,15
551,130,9,14
552,129,7,14
553,120,6,14
554,141,7,14
555,125,11,14
556,125,8,15
557,126,7,15
558,126,7,14
559,126,7,15
560,129,6,14
561,127,7,14
562,124,7,14
563,127,6,15
564,131,7,15
565,123,7,14
566,126,7,15
567,125,6,14
568,132,7,14
569,127,7,15
570,125,7,15
571,128,6,14
572,125,6,15
573,165,7,15
574,125,7,14
575,127,7,15
576,126,6,14
577,131,7,14
578,125,7,14
579,123,6,15
580,125,7,14
581,123,7,14
582,124,7,14
583,126,6,14
584,125,7,14
585,125,7,15
586,223,10,16
587,136,7,18
588,128,7,15
589,129,7,15
590,132,9,14
591,123,7,14
592,128,8,14
593,125,7,14
594,146,8,14
595,128,11,14
596,172,7,14
597,124,7,16
598,126,9,14
599,129,6,16
600,127,7,14
601,127,6,15
602,129,8,15
603,126,7,15
604,128,7,14
605,127,7,14
606,137,11,14
607,124,7,14
608,125,8,14
609,128,8,14
610,126,6,15
611,127,8,14
612,125,7,14
613,126,7,14
614,131,7,14
615,124,7,15
616,126,7,15
617,124,7,14
618,125,7,15
619,124,7,14
620,162,9,14
621,121,7,14
622,124,7,14
623,127,7,15
624,130,7,15
625,227,10,17
626,146,7,20
627,130,7,16
628,129,7,15
629,133,8,15
630,126,7,15
631,126,6,14
632,147,7,14
633,125,7,15
634,125,7,15
635,127,7,14
636,127,7,14
637,128,7,15
638,125,6,15
639,128,7,15
640,125,7,14
641,130,7,15
642,126,7,15
643,176,7,15
644,125,10,14
645,128,8,15
646,125,6,14
647,124,6,14
648,125,6,14
649,126,7,14
650,126,7,14
651,125,6,15
652,125,7,15
653,128,6,14
654,125,6,15
655,130,7,15
656,125,7,15
657,126,6,15
658,125,7,14
659,124,6,14
660,124,7,14
661,127,7,14
662,127,7,14
663,219,7,15
664,151,7,16
665,139,7,16
666,188,7,15
667,132,7,17
668,131,8,14
669,132,8,15
670,147,7,15
671,130,11,14
672,128,8,14
673,127,7,14
674,127,8,14
675,125,7,14
676,126,7,14
677,129,7,14
678,126,7,14
679,127,7,15
680,136,10,15
681,125,7,15
682,127,7,15
683,126,7,14
684,128,7,15
685,127,7,15
686,129,7,15
687,131,7,15
688,125,7,15
689,131,8,14
690,165,7,11
691,121,6,16
692,124,7,15
693,125,8,14
694,125,7,14
695,126,7,14
696,129,7,14
697,125,7,14
698,127,7,15
699,127,7,14
700,127,8,14
701,228,7,105
702,136,8,13
703,135,6,18
704,131,7,16
705,129,7,15
706,125,7,15
707,128,7,14
708,151,7,15
709,129,7,15
710,125,7,15
711,127,7,15
712,127,7,15
713,181,7,15
714,125,7,15
715,129,7,15
716,128,8,14
717,132,8,14
718,132,12,14
719,125,8,14
720,129,8,14
721,129,8,15
722,128,8,15
723,128,7,15
724,131,8,14
725,125,7,15
726,124,7,15
727,127,8,14
728,126,7,15
729,125,7,15
730,127,7,14
731,125,7,14
732,125,8,14
733,126,8,14
734,124,7,14
735,122,7,12
736,130,8,14
737,170,8,14
738,125,7,15
739,221,7,14
740,155,11,17
741,137,8,16
742,133,7,15
743,129,8,15
744,129,7,15
745,128,7,15
746,127,7,17
747,149,7,15
748,128,8,15
749,126,7,17
750,130,9,14
751,127,8,14
752,126,7,15
753,128,7,16
754,126,7,14
755,127,7,15
756,134,8,15
757,126,7,16
758,127,7,17
759,126,7,14
760,191,7,16
761,123,6,14
762,125,7,14
763,127,7,15
764,125,8,14
765,127,8,14
766,127,7,15
767,126,7,15
768,130,8,14
769,127,7,15
770,127,7,17
771,130,8,14
772,129,8,14
773,124,8,14
774,128,7,17
775,126,7,14
776,126,7,12
777,130,7,14
778,239,11,18
779,147,7,18
780,141,7,16
781,131,8,15
782,135,9,15
783,196,71,14
784,154,8,15
785,132,8,15
786,130,10,12
787,129,8,14
788,129,8,14
789,130,8,16
790,128,7,17
791,129,8,16
792,130,7,16
793,128,7,16
794,133,8,11
795,129,8,14
796,128,7,16
797,132,9,16
798,130,7,16
799,126,7,11
800,131,8,16
801,129,7,17
802,128,7,16
803,127,7,15
804,128,7,14
805,129,8,14
806,130,7,17
807,174,8,14
808,130,7,15
809,134,7,14
810,126,7,15
811,128,7,16
812,131,8,14
813,131,7,15
814,130,7,15
815,237,8,109
816,144,9,15
817,140,8,16
818,132,8,15
819,137,8,14
820,136,12,11
821,132,8,15
822,161,8,14
823,131,8,14
824,129,8,15
825,132,9,14
826,130,8,14
827,130,8,15
828,195,7,15
829,129,8,14
830,131,6,16
831,144,7,17
832,130,8,15
833,131,8,16
834,133,8,17
835,134,8,15
836,130,7,15
837,133,8,16
838,136,12,12
839,131,8,15
840,132,8,14
841,129,7,14
842,131,8,15
843,133,8,14
844,134,8,14
845,135,8,14
846,133,10,14
847,128,7,12
848,131,8,14
849,132,8,16
850,132,8,14
851,182,7,15
852,252,14,19
853,152,9,17
854,143,8,15
855,135,8,15
856,138,9,15
857,134,8,14
858,130,8,11
859,157,8,17
860,133,8,15
861,129,8,15
862,131,8,15
863,130,8,11
864,131,7,15
865,131,8,12
866,135,8,16
867,133,7,14
868,139,8,15
869,136,7,15
870,128,8,11
871,134,8,16
872,132,8,15
873,201,7,15
874,133,8,15
875,131,7,15
876,132,8,14
877,132,7,15
878,134,7,17
879,131,8,15
880,134,8,14
881,130,7,11
882,134,8,15
883,134,8,14
884,132,7,15
885,133,8,15
886,134,8,15
887,130,8,14
888,134,8,15
889,250,12,18
890,153,8,16
891,147,8,15
892,137,8,15
893,140,9,15
894,135,8,14
895,228,102,14
896,133,8,14
897,138,9,14
898,137,9,15
899,132,7,15
900,136,9,14
901,133,8,15
902,134,7,15
903,136,8,15
904,133,8,14
905,142,9,15
906,135,8,14
907,134,8,15
908,136,8,15
909,134,8,15
910,135,8,14
911,139,8,15
912,137,8,14
913,136,8,14
914,133,8,14
915,135,8,15
916,142,8,15
917,137,11,14
918,192,8,19
919,132,8,15
920,138,8,14
921,132,8,14
922,133,8,16
923,141,12,14
924,246,102,20
925,157,8,17
926,153,8,16
927,143,10,12
928,154,11,17
929,145,10,16
930,165,11,11
931,140,10,13
932,145,7,16
933,139,9,14
934,139,9,14
935,138,8,14
936,139,8,15
937,140,9,14
938,139,8,15
939,211,8,14
940,149,8,16
941,142,8,15
942,140,8,15
943,144,8,16
944,141,9,14
945,142,8,15
946,139,8,14
947,140,8,15
948,141,8,15
949,140,8,15
950,152,10,17
951,143,8,17
952,143,11,13
953,139,9,14
954,140,8,14
955,139,8,15
956,140,8,15
957,142,8,14
958,242,8,15
959,162,9,17
960,224,8,16
961,148,8,16
962,148,9,15
963,144,9,14
964,148,10,16
965,168,9,15
966,142,8,14
967,150,9,15
968,141,8,14
969,143,8,14
970,142,8,15
971,141,8,15
972,151,13,16
973,144,8,15
974,142,9,14
975,150,8,15
976,142,9,14
