iteration,duration,findLastItemDuration,getItemTextDuration
1,152,5,20
2,123,4,9
3,112,7,11
4,108,4,9
5,109,5,10
6,108,4,9
7,104,5,9
8,109,5,11
9,106,6,9
10,107,4,10
11,103,4,9
12,105,4,10
13,113,5,12
14,104,7,9
15,107,6,9
16,113,15,9
17,108,7,9
18,127,5,12
19,112,5,13
20,111,5,12
21,110,5,12
22,111,5,12
23,111,5,12
24,111,5,11
25,111,5,12
26,111,5,12
27,111,5,12
28,112,5,12
29,114,8,11
30,112,5,12
31,110,5,12
32,114,5,13
33,109,5,12
34,108,5,12
35,111,5,12
36,111,5,12
37,111,5,12
38,110,5,12
39,111,5,12
40,114,7,11
41,113,5,12
42,111,5,12
43,112,5,12
44,111,5,12
45,129,5,12
46,104,5,8
47,108,5,11
48,113,5,12
49,110,5,11
50,111,6,11
51,109,7,13
52,111,5,12
53,111,5,12
54,111,5,12
55,110,5,12
56,111,5,12
57,112,5,13
58,121,5,12
59,111,5,12
60,112,6,12
61,111,5,12
62,111,5,12
63,108,5,12
64,129,5,11
65,113,5,12
66,108,5,12
67,128,5,12
68,124,5,13
69,107,5,11
70,134,5,12
71,109,5,12
72,159,5,13
73,106,5,12
74,129,25,10
75,111,4,12
76,108,5,11
77,284,5,11
78,121,6,13
79,139,8,11
80,131,5,28
81,116,6,12
82,113,5,12
83,129,6,11
84,107,5,12
85,111,5,12
86,131,6,11
87,108,5,12
88,110,5,12
89,142,5,12
90,109,5,12
91,108,5,12
92,136,5,14
93,114,5,12
94,121,5,13
95,128,5,12
96,182,5,86
97,106,5,12
98,109,5,11
99,136,5,10
100,109,5,12
101,110,5,12
102,112,5,11
103,112,5,11
104,112,5,12
105,110,5,11
106,117,6,12
107,112,5,11
108,111,5,11
109,111,5,12
110,114,5,12
111,112,5,12
112,110,5,11
113,110,5,12
114,112,5,12
115,113,5,12
116,113,5,12
117,113,5,12
118,114,5,12
119,114,5,12
120,106,5,12
121,110,5,12
122,114,5,12
123,160,5,11
124,109,5,12
125,108,5,12
126,112,6,11
127,111,5,12
128,112,5,11
129,112,5,12
130,112,5,12
131,112,5,12
132,114,6,13
133,111,5,12
134,111,5,12
135,112,6,11
136,111,5,12
137,115,5,12
138,112,5,12
139,112,6,11
140,113,5,12
141,111,5,12
142,114,6,12
143,118,5,12
144,111,5,12
145,112,5,12
146,111,5,12
147,111,5,12
148,111,5,12
149,112,5,11
150,163,6,64
151,111,6,13
152,112,5,13
153,113,5,12
154,206,5,12
155,122,6,13
156,120,5,14
157,115,6,13
158,116,6,8
159,113,6,12
160,113,5,12
161,114,5,12
162,113,5,12
163,114,6,11
164,113,6,11
165,113,6,11
166,114,5,12
167,110,5,11
168,113,5,12
169,112,6,12
170,114,5,12
171,115,6,12
172,112,5,12
173,115,7,12
174,113,5,12
175,112,6,11
176,162,5,12
177,107,6,13
178,113,5,10
179,113,5,12
180,112,5,12
181,112,6,11
182,112,6,12
183,113,5,12
184,111,6,11
185,112,5,12
186,115,5,11
187,113,5,12
188,116,5,12
189,112,5,12
190,113,5,11
191,113,5,12
192,112,6,11
193,111,6,11
194,116,7,12
195,115,6,12
196,116,5,12
197,116,5,12
198,112,5,12
199,112,5,12
200,202,6,11
201,124,6,13
202,176,6,71
203,109,5,13
204,116,6,12
205,115,5,12
206,112,5,12
207,116,6,12
208,111,6,11
209,113,6,12
210,133,6,11
211,119,8,12
212,112,6,11
213,112,5,12
214,113,5,12
215,111,6,11
216,114,5,12
217,120,6,13
218,113,5,12
219,113,6,11
220,116,6,12
221,114,5,12
222,112,6,12
223,115,6,12
224,114,5,12
225,112,6,11
226,114,6,11
227,112,5,11
228,156,6,11
229,106,6,11
230,112,6,11
231,118,7,12
232,112,6,11
233,112,6,11
234,117,5,12
235,113,6,13
236,113,6,11
237,112,5,12
238,113,5,12
239,111,5,12
240,112,6,11
241,114,5,11
242,112,6,11
243,111,6,11
244,111,5,12
245,113,5,12
246,111,5,12
247,111,6,11
248,112,6,11
249,114,6,11
250,115,6,11
251,113,5,12
252,117,5,12
253,113,6,11
254,114,6,12
255,175,6,11
256,107,8,12
257,118,6,12
258,117,6,12
259,112,6,11
260,115,6,11
261,112,5,12
262,114,5,12
263,113,6,11
264,115,5,12
265,114,6,12
266,113,5,12
267,114,6,11
268,113,5,12
269,110,6,8
270,114,5,12
271,112,5,8
272,114,6,13
273,113,6,11
274,114,5,12
275,116,6,13
276,116,6,13
277,114,6,12
278,113,5,12
279,113,6,11
280,155,6,11
281,175,5,13
282,117,5,12
283,116,5,12
284,116,6,12
285,115,6,12
286,117,6,11
287,114,5,11
288,113,7,11
289,116,8,11
290,113,6,12
291,115,6,12
292,110,6,9
293,116,6,11
294,113,5,13
295,113,6,11
296,111,6,12
297,116,5,12
298,116,6,11
299,113,6,11
300,147,5,12
301,116,6,11
302,120,6,12
303,114,6,11
304,114,6,11
305,117,7,16
306,112,5,12
307,166,6,11
308,107,6,11
309,114,7,12
310,117,5,12
311,115,6,11
312,116,5,13
313,114,5,12
314,114,5,12
315,114,6,12
316,113,6,12
317,114,6,12
318,111,5,9
319,117,6,12
320,112,5,12
321,118,6,11
322,112,6,11
323,115,6,12
324,112,5,12
325,114,6,11
326,115,6,12
327,114,6,12
328,115,6,12
329,115,6,12
330,118,8,13
331,114,6,12
332,119,6,12
333,115,6,12
334,375,15,15
335,136,6,13
336,122,6,13
337,114,6,12
338,116,8,11
339,115,6,12
340,139,6,11
341,108,6,11
342,112,6,12
343,115,6,12
344,110,5,11
345,114,6,11
346,113,6,12
347,116,7,12
348,116,5,12
349,114,6,12
350,118,6,12
351,116,6,11
352,113,6,12
353,115,5,12
354,115,6,13
355,118,6,12
356,116,6,12
357,114,5,12
358,113,5,12
359,112,6,11
360,158,5,12
